,rmse_mlp,item
0,21.642771838255392,1
1,49.253245304783654,2
2,33.59359295737538,3
3,22.219727923313243,4
4,18.566730262955723,5
5,46.61375112983407,6
6,45.997069212588315,7
7,59.2188609005653,8
8,44.082575290613775,9
9,54.02175965760918,10
10,51.27591138915222,11
11,54.197996592095315,12
12,59.84736435411486,13
13,46.64105650919405,14
14,64.3407493265376,15
15,25.32900204237674,16
16,29.993323015710928,17
17,61.492553404017116,18
18,33.05785792935204,19
19,41.519032229624145,20
20,33.83815200894014,21
21,60.396438715347934,22
22,25.56031916697363,23
23,51.37825884916266,24
24,59.89116421373235,25
25,38.68704403063442,26
26,21.286580901275794,27
27,65.91769105187842,28
28,53.03307189741243,29
29,32.959386644286454,30
30,48.12232191285758,31
31,36.13989491336141,32
32,51.09271776773874,33
33,25.74619967397057,34
34,49.14197218973618,35
35,58.123825780795244,36
36,26.03390085957847,37
37,61.79763388718887,38
38,34.902110973805065,39
39,26.646577018890422,40
40,21.680072841240428,41
41,32.47209817836981,42
42,41.70681624145258,43
43,26.609241180522847,44
44,59.48140796798837,45
45,47.494102245968584,46
46,20.8315248319827,47
47,41.46581765702771,48
48,26.671275455307907,49
49,51.2862530440478,50
