,rmse_pers,item
0,44.94322183017771,1
1,119.91568896911488,2
2,74.1178425876236,3
3,46.41864312630756,4
4,41.173971127855765,5
5,120.21163791673833,6
6,114.06267123274819,7
7,150.39444232168287,8
8,102.49507895961396,9
9,146.73637740221406,10
10,136.4818125474966,11
11,132.5294557471093,12
12,169.39773256119753,13
13,117.97941590856009,14
14,169.85544750426757,15
15,56.46293464106564,16
16,68.01792761149446,17
17,167.103419277928,18
18,81.63961871389405,19
19,95.86967268445741,20
20,84.3918125610758,21
21,158.2834988734612,22
22,60.960238145578344,23
23,128.9664367069006,24
24,161.53711115793175,25
25,95.357637877427,26
26,47.76933815711445,27
27,173.35630419204546,28
28,135.72810021325725,29
29,85.99453505074464,30
30,115.4559025329043,31
31,92.7438508743302,32
32,138.81651699500677,33
33,54.52190777783161,34
34,129.80957357076943,35
35,150.98712952185693,36
36,62.864520980016025,37
37,154.70480332515535,38
38,87.45146533399254,39
39,60.354614101652366,40
40,47.46678783386996,41
41,74.89962358571137,42
42,104.0313438719913,43
43,58.22340041142178,44
44,161.18567636618647,45
45,117.70950819841403,46
46,46.45566340188648,47
47,104.96018590398933,48
48,61.9888197139714,49
49,127.0988058374763,50
